client_id,country,account_type,join_date,deposit_usd
79,Malaysia,Raw Spread,2026-01-07,500
80,Indonesia,Standard,2025-12-30,10000
81,Vietnam,Raw Spread,2025-10-19,5000
82,Thailand,Standard,2025-11-14,1000
83,Thailand,Standard,2026-05-17,500
84,Philippines,Raw Spread,2025-12-25,500
85,Vietnam,Raw Spread,2025-10-06,2500
86,Philippines,Standard,2026-02-12,25000
87,Malaysia,Standard,2026-05-04,1000
88,Indonesia,Raw Spread,2025-11-01,500
89,Vietnam,Standard,2025-08-28,500
90,Indonesia,cTrader,2026-03-26,500
91,Malaysia,Standard,2025-07-25,500
92,Indonesia,Standard,2025-12-22,2500
93,Vietnam,Standard,2026-05-02,10000
94,Thailand,Standard,2025-09-09,1000
95,Singapore,Standard,2025-08-14,2500
96,Vietnam,Raw Spread,2025-08-06,1000
97,Thailand,Standard,2025-12-29,2500
98,Malaysia,cTrader,2025-12-23,500
99,Indonesia,Raw Spread,2025-11-11,10000
100,Thailand,cTrader,2026-04-23,1000
101,Vietnam,cTrader,2026-03-28,2500
102,Thailand,Raw Spread,2026-01-13,500
103,Malaysia,Standard,2025-07-31,2500
104,Vietnam,Standard,2026-05-18,1000
105,Indonesia,Standard,2025-10-05,1000
106,Malaysia,Raw Spread,2026-05-11,1000
107,Malaysia,Standard,2026-04-11,500
108,Thailand,Standard,2026-02-17,500
109,Malaysia,Standard,2025-08-13,500
110,Malaysia,Raw Spread,2026-03-16,1000
111,Indonesia,Raw Spread,2026-04-02,1000
112,Vietnam,Raw Spread,2025-07-14,2500
113,Philippines,Raw Spread,2025-12-18,5000
114,Malaysia,Standard,2025-12-28,500
115,Singapore,cTrader,2026-02-19,500
116,Philippines,Standard,2026-01-17,500
117,Singapore,Standard,2026-04-05,2500
118,Vietnam,cTrader,2025-08-06,500
119,Indonesia,Raw Spread,2025-11-29,1000
120,Singapore,Standard,2025-09-22,500
121,Indonesia,Standard,2026-03-20,1000
122,Indonesia,Raw Spread,2025-12-09,1000
123,Philippines,Standard,2025-10-23,500
124,Vietnam,Raw Spread,2026-02-25,5000
125,Malaysia,Standard,2025-09-29,10000
126,Thailand,Standard,2026-01-25,500
127,Philippines,Standard,2025-09-13,500
128,Indonesia,Standard,2025-07-18,2500
129,Vietnam,Standard,2025-08-15,1000
130,Singapore,Standard,2026-02-27,500
131,Singapore,Standard,2025-09-27,5000
132,Malaysia,Standard,2025-09-29,2500
133,Singapore,Standard,2025-12-06,2500
134,Thailand,cTrader,2025-10-24,5000
135,Malaysia,cTrader,2025-07-06,500
136,Indonesia,Raw Spread,2025-07-12,500
137,Singapore,Raw Spread,2025-09-27,500
138,Thailand,Standard,2026-01-16,500
139,Thailand,Raw Spread,2025-10-15,500
140,Indonesia,Standard,2025-11-22,10000
141,Singapore,Raw Spread,2025-12-18,2500
142,Thailand,Standard,2025-11-17,5000
143,Thailand,Standard,2025-12-05,1000
144,Malaysia,cTrader,2026-03-03,500
145,Thailand,cTrader,2026-05-01,1000
146,Indonesia,Standard,2025-09-29,25000
147,Indonesia,Raw Spread,2026-01-06,500
148,Vietnam,Raw Spread,2025-09-13,500
149,Thailand,Standard,2026-03-22,1000
150,Malaysia,Raw Spread,2025-08-15,500
151,Thailand,Standard,2026-05-17,500
152,Philippines,Standard,2025-09-28,500
153,Vietnam,cTrader,2025-10-04,2500
154,Malaysia,Standard,2026-03-20,1000
155,Indonesia,Raw Spread,2026-01-26,5000
156,Vietnam,Raw Spread,2025-12-09,500
157,Thailand,Standard,2026-04-16,5000
158,Indonesia,Raw Spread,2026-04-28,5000
159,Malaysia,Raw Spread,2025-07-25,2500
160,Thailand,cTrader,2025-08-24,5000
161,Thailand,Raw Spread,2025-12-06,500
162,Singapore,Standard,2026-03-29,2500
163,Indonesia,Raw Spread,2025-09-15,2500
164,Singapore,Standard,2025-09-08,500
165,Malaysia,Standard,2026-01-01,2500
166,Philippines,Standard,2025-09-17,2500
167,Vietnam,Raw Spread,2026-05-03,500
168,Indonesia,Standard,2026-02-02,500
169,Malaysia,Raw Spread,2026-02-27,500
170,Philippines,Raw Spread,2026-03-07,5000
171,Malaysia,Standard,2025-10-25,2500
172,Malaysia,Standard,2025-07-04,1000
173,Thailand,Standard,2025-10-01,10000
174,Thailand,cTrader,2025-09-23,5000
175,Malaysia,Raw Spread,2026-01-05,1000
176,Indonesia,Raw Spread,2026-01-08,500
177,Indonesia,Standard,2026-05-20,1000
178,Thailand,Standard,2025-07-02,1000
179,Malaysia,cTrader,2026-02-20,1000
180,Thailand,Raw Spread,2026-04-30,500
181,Malaysia,Raw Spread,2026-02-26,5000
182,Vietnam,Standard,2025-07-02,500
183,Singapore,Standard,2025-10-30,2500
184,Thailand,Raw Spread,2026-03-28,2500
185,Thailand,Standard,2025-09-27,10000
186,Malaysia,Standard,2025-12-09,25000
187,Malaysia,Raw Spread,2025-10-31,1000
188,Thailand,cTrader,2025-08-01,2500
189,Thailand,Standard,2025-07-24,500
190,Malaysia,Raw Spread,2025-11-16,1000
191,Thailand,Standard,2025-12-11,5000
192,Thailand,Raw Spread,2025-08-24,1000
193,Vietnam,Raw Spread,2025-09-30,5000
194,Philippines,Raw Spread,2025-08-14,2500
195,Malaysia,Standard,2025-08-09,5000
196,Thailand,Standard,2026-03-03,1000
197,Singapore,Standard,2025-08-08,5000
198,Indonesia,Raw Spread,2026-05-15,5000
199,Philippines,Standard,2025-12-31,500
200,Indonesia,Standard,2026-01-06,2500
