trade_id,date,client_id,pair,side,lots,profit_usd
491,2025-07-07,161,XAUUSD,sell,0.1,22.24
2822,2025-07-07,21,GBPUSD,sell,1.0,27.89
1594,2025-07-07,38,USDJPY,buy,1.0,-45.76
2159,2025-07-07,22,USDJPY,buy,0.01,-1.65
930,2025-07-07,30,EURUSD,sell,0.1,-8.15
887,2025-07-07,56,GBPUSD,sell,0.01,-0.29
1957,2025-07-08,98,XAUUSD,sell,0.01,-0.39
616,2025-07-08,86,USDJPY,buy,0.01,-0.41
1526,2025-07-08,68,XAUUSD,buy,0.5,27.15
849,2025-07-08,34,EURUSD,sell,0.01,-1.35
2794,2025-07-08,36,USDJPY,buy,0.01,1.48
484,2025-07-08,174,GBPUSD,buy,0.01,-0.1
660,2025-07-08,121,USDJPY,sell,0.01,-1.15
1860,2025-07-08,147,USDJPY,buy,0.01,1.36
1686,2025-07-08,58,XAUUSD,sell,0.01,-0.08
457,2025-07-08,113,XAUUSD,buy,0.1,-2.57
393,2025-07-08,200,USDJPY,sell,1.0,0.44
2682,2025-07-08,151,GBPUSD,sell,0.01,-0.06
151,2025-07-09,29,XAUUSD,sell,0.1,-9.59
2493,2025-07-09,45,EURUSD,sell,0.05,1.37
1729,2025-07-09,177,XAUUSD,sell,0.05,5.29
2235,2025-07-09,72,USDJPY,sell,0.05,0.05
2957,2025-07-09,51,GBPUSD,buy,2.0,50.87
1723,2025-07-09,22,GBPUSD,buy,0.1,-13.77
522,2025-07-09,78,XAUUSD,sell,0.05,3.63
495,2025-07-09,186,GBPUSD,buy,2.0,-248.27
1961,2025-07-09,10,USDJPY,sell,0.01,0.63
874,2025-07-09,108,GBPUSD,sell,0.1,-17.76
1358,2025-07-09,62,GBPUSD,sell,0.1,5.83
70,2025-07-10,126,XAUUSD,buy,0.01,0.43
37,2025-07-10,141,GBPUSD,sell,0.5,-53.17
707,2025-07-10,85,XAUUSD,buy,0.01,-2.69
702,2025-07-10,102,EURUSD,sell,1.0,129.2
2626,2025-07-10,194,USDJPY,sell,0.01,0.55
768,2025-07-10,126,GBPUSD,sell,2.0,330.11
1733,2025-07-10,23,USDJPY,sell,0.05,3.6
477,2025-07-10,184,EURUSD,sell,1.0,24.57
436,2025-07-11,164,EURUSD,sell,0.05,2.71
1363,2025-07-11,83,USDJPY,sell,0.01,-0.1
2435,2025-07-11,33,XAUUSD,sell,0.5,123.06
1962,2025-07-11,196,USDJPY,buy,1.0,-31.99
1347,2025-07-11,87,GBPUSD,sell,0.01,-1.18
2474,2025-07-11,158,GBPUSD,buy,0.5,-38.5
126,2025-07-11,187,EURUSD,buy,0.05,-1.65
289,2025-07-11,19,EURUSD,buy,0.5,-26.28
2466,2025-07-11,140,XAUUSD,sell,0.01,-0.1
1830,2025-07-11,119,USDJPY,sell,2.0,157.77
2989,2025-07-11,44,USDJPY,buy,0.1,6.05
1101,2025-07-11,120,XAUUSD,sell,0.05,5.47
1645,2025-07-11,6,GBPUSD,sell,1.0,45.68
2625,2025-07-11,86,USDJPY,buy,0.5,78.94
2194,2025-07-14,144,EURUSD,buy,0.5,-14.7
1093,2025-07-14,190,EURUSD,sell,0.1,-1.51
2858,2025-07-14,52,XAUUSD,buy,0.01,1.45
2942,2025-07-14,81,GBPUSD,sell,0.01,1.23
28,2025-07-14,33,USDJPY,sell,0.05,-6.89
1456,2025-07-14,26,USDJPY,sell,0.01,0.08
1173,2025-07-14,125,EURUSD,buy,0.05,8.86
1124,2025-07-14,120,GBPUSD,buy,0.1,6.29
746,2025-07-14,164,XAUUSD,buy,0.05,-4.14
2833,2025-07-14,13,XAUUSD,sell,0.5,-10.67
2617,2025-07-14,28,GBPUSD,sell,0.01,1.14
1281,2025-07-14,184,EURUSD,sell,0.5,21.17
2105,2025-07-14,24,GBPUSD,sell,0.5,29.18
212,2025-07-15,162,GBPUSD,sell,0.01,-0.47
1370,2025-07-15,109,XAUUSD,sell,0.01,0.76
708,2025-07-15,13,EURUSD,sell,0.5,-30.69
1203,2025-07-15,38,USDJPY,sell,0.1,14.01
613,2025-07-15,107,USDJPY,sell,0.5,-24.48
1100,2025-07-15,49,EURUSD,buy,0.05,-5.9
1654,2025-07-15,159,XAUUSD,sell,0.05,-6.19
239,2025-07-15,114,XAUUSD,buy,1.0,183.05
2148,2025-07-15,103,XAUUSD,buy,0.01,-0.24
2209,2025-07-15,5,XAUUSD,sell,1.0,271.45
2098,2025-07-15,188,GBPUSD,buy,1.0,31.05
1727,2025-07-15,177,USDJPY,sell,1.0,34.04
875,2025-07-15,73,EURUSD,sell,0.1,-9.03
2468,2025-07-15,115,USDJPY,buy,0.5,-39.97
1539,2025-07-15,141,USDJPY,sell,1.0,30.63
1127,2025-07-15,198,EURUSD,sell,0.01,0.63
1797,2025-07-16,113,XAUUSD,sell,0.01,1.8
510,2025-07-16,171,XAUUSD,buy,0.5,112.15
300,2025-07-16,25,GBPUSD,sell,0.5,103.55
1978,2025-07-16,4,EURUSD,sell,0.1,-2.24
949,2025-07-16,68,EURUSD,sell,0.01,0.66
489,2025-07-16,154,EURUSD,sell,1.0,131.1
2189,2025-07-16,113,XAUUSD,buy,0.01,1.61
2737,2025-07-16,50,USDJPY,buy,0.5,-50.59
2460,2025-07-16,149,XAUUSD,buy,0.05,4.66
1136,2025-07-16,135,EURUSD,sell,0.1,6.28
553,2025-07-16,175,XAUUSD,buy,0.1,-3.2
2087,2025-07-17,54,GBPUSD,sell,1.0,-14.42
451,2025-07-17,162,USDJPY,buy,0.01,0.46
1809,2025-07-17,23,XAUUSD,buy,0.01,1.22
277,2025-07-17,66,XAUUSD,buy,0.01,-0.02
829,2025-07-17,31,GBPUSD,sell,0.1,0.2
2388,2025-07-17,164,XAUUSD,buy,0.01,1.59
1034,2025-07-17,151,EURUSD,buy,0.01,0.12
1428,2025-07-17,189,EURUSD,buy,0.01,1.26
208,2025-07-17,133,GBPUSD,sell,0.05,3.78
965,2025-07-17,81,XAUUSD,buy,0.01,1.33
2487,2025-07-17,8,USDJPY,buy,0.05,0.58
211,2025-07-18,37,USDJPY,sell,0.01,1.46
1280,2025-07-18,14,USDJPY,sell,1.0,44.87
983,2025-07-18,118,EURUSD,buy,0.5,-22.35
1063,2025-07-18,143,XAUUSD,sell,0.5,32.25
937,2025-07-18,151,XAUUSD,sell,0.05,-2.37
158,2025-07-18,149,XAUUSD,buy,0.1,13.78
430,2025-07-18,125,EURUSD,sell,0.01,0.25
1675,2025-07-18,34,XAUUSD,sell,0.5,41.51
290,2025-07-18,125,XAUUSD,buy,0.05,5.44
1576,2025-07-18,109,EURUSD,sell,0.5,-51.85
69,2025-07-18,32,GBPUSD,buy,0.1,-6.04
1299,2025-07-21,101,GBPUSD,sell,0.05,0.39
1476,2025-07-21,18,XAUUSD,sell,0.1,-4.86
298,2025-07-21,23,USDJPY,buy,0.05,-7.67
2372,2025-07-21,39,GBPUSD,buy,2.0,115.29
2190,2025-07-21,181,EURUSD,sell,0.1,9.45
1938,2025-07-21,1,XAUUSD,buy,0.1,0.08
941,2025-07-21,125,XAUUSD,sell,0.5,-20.67
840,2025-07-21,122,USDJPY,sell,0.05,0.82
164,2025-07-22,117,XAUUSD,buy,0.01,-1.39
18,2025-07-22,50,XAUUSD,buy,0.01,0.53
653,2025-07-22,19,USDJPY,sell,0.05,-6.24
2884,2025-07-22,121,USDJPY,sell,0.05,-2.12
1254,2025-07-22,109,EURUSD,buy,0.01,1.9
2008,2025-07-22,51,EURUSD,buy,0.5,25.51
2736,2025-07-22,92,XAUUSD,sell,0.01,-1.38
761,2025-07-22,157,USDJPY,buy,0.01,-0.36
1305,2025-07-22,114,USDJPY,sell,0.01,-1.08
1649,2025-07-23,188,GBPUSD,buy,0.01,-0.55
2079,2025-07-23,173,EURUSD,buy,0.01,-1.15
2804,2025-07-23,136,GBPUSD,buy,0.01,0.07
1768,2025-07-23,23,EURUSD,buy,0.1,-1.68
546,2025-07-23,21,GBPUSD,sell,0.1,4.46
2506,2025-07-23,12,EURUSD,buy,0.01,0.11
356,2025-07-23,115,EURUSD,buy,0.1,12.69
1103,2025-07-23,136,EURUSD,buy,0.5,12.26
1090,2025-07-23,172,GBPUSD,buy,0.01,0.03
1214,2025-07-23,2,EURUSD,sell,0.05,0.89
1886,2025-07-23,20,EURUSD,buy,0.1,-4.19
485,2025-07-23,32,GBPUSD,buy,1.0,31.43
2715,2025-07-23,176,GBPUSD,buy,0.01,0.21
916,2025-07-23,96,EURUSD,sell,0.01,0.85
1775,2025-07-23,13,USDJPY,sell,2.0,69.78
307,2025-07-23,155,USDJPY,buy,0.1,-1.57
184,2025-07-23,75,EURUSD,buy,0.05,-1.38
889,2025-07-23,128,GBPUSD,sell,0.05,-3.24
1824,2025-07-23,86,EURUSD,buy,0.5,-12.68
2142,2025-07-24,113,USDJPY,buy,0.05,-3.39
410,2025-07-24,5,USDJPY,buy,0.1,-4.21
1897,2025-07-24,67,EURUSD,sell,0.1,-0.57
322,2025-07-24,165,GBPUSD,buy,0.01,0.75
701,2025-07-24,196,EURUSD,sell,0.1,7.75
1174,2025-07-24,111,GBPUSD,sell,0.05,5.31
1940,2025-07-24,57,GBPUSD,buy,0.01,0.81
2442,2025-07-24,12,GBPUSD,sell,1.0,4.07
1156,2025-07-25,91,USDJPY,buy,0.05,2.96
80,2025-07-25,103,USDJPY,sell,0.1,8.18
1342,2025-07-25,49,USDJPY,sell,0.01,0.51
1455,2025-07-25,108,USDJPY,buy,0.01,1.22
45,2025-07-25,107,EURUSD,buy,0.01,0.11
1168,2025-07-25,12,EURUSD,sell,0.01,1.18
2545,2025-07-25,180,XAUUSD,buy,0.05,-0.47
1982,2025-07-25,79,EURUSD,buy,0.05,-0.81
1464,2025-07-25,6,EURUSD,sell,0.05,0.89
1781,2025-07-25,144,GBPUSD,sell,0.1,6.33
2548,2025-07-25,40,XAUUSD,buy,0.5,23.33
688,2025-07-25,163,XAUUSD,sell,0.01,1.35
2586,2025-07-25,3,USDJPY,buy,0.5,77.89
801,2025-07-25,62,GBPUSD,buy,0.05,5.96
2451,2025-07-25,116,XAUUSD,sell,0.05,-3.51
577,2025-07-25,155,USDJPY,sell,0.5,-35.1
1049,2025-07-28,152,USDJPY,sell,0.01,0.65
1153,2025-07-28,67,GBPUSD,sell,0.05,1.17
2294,2025-07-28,29,EURUSD,buy,0.1,18.54
549,2025-07-28,57,XAUUSD,buy,0.05,5.16
159,2025-07-28,167,EURUSD,sell,0.01,-0.2
2304,2025-07-28,190,USDJPY,sell,0.5,0.55
165,2025-07-28,164,GBPUSD,buy,0.01,0.25
2836,2025-07-28,139,EURUSD,buy,0.01,0.06
885,2025-07-28,73,XAUUSD,buy,0.05,4.53
920,2025-07-29,127,EURUSD,buy,0.05,6.46
823,2025-07-29,37,GBPUSD,sell,0.05,-1.13
2784,2025-07-29,200,EURUSD,sell,0.1,-2.73
1573,2025-07-29,6,GBPUSD,sell,0.01,0.45
1676,2025-07-29,65,EURUSD,buy,2.0,-73.09
1394,2025-07-29,72,XAUUSD,sell,1.0,83.38
2004,2025-07-29,152,USDJPY,buy,0.05,-1.21
1792,2025-07-29,44,GBPUSD,sell,0.1,10.18
1092,2025-07-29,89,USDJPY,sell,0.1,-7.66
1725,2025-07-29,128,XAUUSD,buy,0.01,-0.19
2786,2025-07-29,143,GBPUSD,sell,0.01,-0.61
2101,2025-07-29,28,EURUSD,sell,0.01,1.01
2217,2025-07-29,53,GBPUSD,buy,0.01,-0.66
249,2025-07-29,82,XAUUSD,buy,0.01,-0.59
731,2025-07-30,146,USDJPY,sell,0.01,0.0
1950,2025-07-30,97,XAUUSD,buy,0.1,32.4
1969,2025-07-30,16,USDJPY,buy,2.0,-235.87
2711,2025-07-30,90,EURUSD,buy,0.1,7.96
750,2025-07-30,95,EURUSD,sell,0.05,1.64
1274,2025-07-30,85,GBPUSD,buy,0.01,-0.04
1672,2025-07-30,190,XAUUSD,buy,0.05,-4.01
1628,2025-07-30,73,EURUSD,sell,0.05,3.69
860,2025-07-30,184,USDJPY,sell,0.1,-6.33
2029,2025-07-30,136,EURUSD,buy,0.5,-45.9
650,2025-07-30,26,EURUSD,sell,0.1,-14.36
966,2025-07-30,151,EURUSD,buy,0.05,4.44
1732,2025-07-30,52,XAUUSD,buy,2.0,173.1
1891,2025-07-30,130,EURUSD,buy,0.1,-4.4
1552,2025-07-30,176,XAUUSD,buy,1.0,191.46
2505,2025-07-31,30,XAUUSD,sell,0.1,2.41
492,2025-07-31,158,XAUUSD,sell,0.05,1.31
618,2025-07-31,138,EURUSD,buy,0.5,47.54
1484,2025-07-31,124,USDJPY,sell,1.0,-127.04
251,2025-07-31,69,XAUUSD,buy,1.0,121.96
1209,2025-07-31,166,GBPUSD,buy,0.5,-7.78
1290,2025-07-31,135,XAUUSD,buy,2.0,223.01
980,2025-07-31,166,XAUUSD,sell,0.1,-0.39
1052,2025-07-31,25,GBPUSD,sell,0.05,0.82
1367,2025-07-31,149,USDJPY,sell,0.5,-25.33
1319,2025-07-31,69,GBPUSD,sell,0.01,-0.03
115,2025-08-01,125,GBPUSD,buy,0.01,-0.69
2749,2025-08-01,104,EURUSD,buy,0.05,3.98
536,2025-08-01,72,EURUSD,buy,0.05,3.25
6,2025-08-01,197,XAUUSD,sell,0.5,113.93
1017,2025-08-01,71,GBPUSD,buy,0.05,1.29
2097,2025-08-01,134,XAUUSD,buy,2.0,86.08
1721,2025-08-01,74,EURUSD,buy,1.0,-14.34
2003,2025-08-01,79,EURUSD,buy,0.1,9.11
1550,2025-08-01,27,XAUUSD,sell,0.5,17.06
2391,2025-08-01,22,USDJPY,sell,0.05,4.41
1058,2025-08-01,42,USDJPY,buy,0.1,-6.24
858,2025-08-01,113,USDJPY,buy,0.5,-39.32
661,2025-08-01,78,USDJPY,sell,1.0,-26.69
766,2025-08-01,14,GBPUSD,sell,0.01,1.02
2312,2025-08-01,63,EURUSD,sell,0.01,0.26
2562,2025-08-04,26,GBPUSD,sell,0.5,-13.73
2507,2025-08-04,92,EURUSD,sell,0.05,-8.77
1066,2025-08-04,165,EURUSD,buy,0.1,7.68
2556,2025-08-04,66,EURUSD,sell,0.05,1.03
540,2025-08-04,55,EURUSD,sell,0.5,-62.17
1503,2025-08-04,167,GBPUSD,sell,0.1,8.79
2073,2025-08-04,98,USDJPY,sell,0.5,31.92
1121,2025-08-04,65,XAUUSD,buy,0.5,91.38
2796,2025-08-04,155,XAUUSD,sell,0.05,9.75
1403,2025-08-04,143,XAUUSD,sell,2.0,199.76
2121,2025-08-05,181,USDJPY,sell,0.5,31.09
2086,2025-08-05,55,XAUUSD,sell,0.05,4.02
714,2025-08-05,55,USDJPY,sell,0.5,-62.12
1861,2025-08-05,136,USDJPY,sell,0.01,1.6
727,2025-08-05,21,EURUSD,buy,0.05,6.54
440,2025-08-05,127,USDJPY,buy,0.01,-0.49
105,2025-08-05,54,XAUUSD,buy,1.0,130.43
1431,2025-08-05,135,GBPUSD,sell,0.01,0.73
1441,2025-08-05,62,XAUUSD,sell,0.5,0.47
2452,2025-08-05,40,GBPUSD,buy,0.1,-13.22
1472,2025-08-05,33,GBPUSD,sell,0.05,-4.64
511,2025-08-05,171,GBPUSD,sell,1.0,141.58
2162,2025-08-05,154,USDJPY,sell,0.05,1.74
1107,2025-08-05,127,EURUSD,buy,0.05,-3.07
2940,2025-08-06,65,GBPUSD,sell,0.1,-13.49
2041,2025-08-06,86,GBPUSD,sell,1.0,-116.94
2360,2025-08-06,22,XAUUSD,sell,0.5,31.89
2048,2025-08-06,139,GBPUSD,buy,0.01,0.6
1335,2025-08-06,66,XAUUSD,buy,0.01,-0.23
691,2025-08-06,120,XAUUSD,sell,0.1,-1.89
1097,2025-08-06,81,GBPUSD,buy,0.05,2.27
2398,2025-08-06,139,EURUSD,sell,0.05,-8.43
1807,2025-08-06,174,XAUUSD,buy,1.0,-67.39
434,2025-08-06,3,EURUSD,sell,0.01,1.42
504,2025-08-06,50,EURUSD,sell,0.5,17.57
519,2025-08-06,49,USDJPY,sell,0.05,-0.81
2923,2025-08-06,68,XAUUSD,buy,2.0,-49.16
1504,2025-08-07,181,XAUUSD,buy,0.05,9.68
218,2025-08-07,26,XAUUSD,buy,0.5,12.64
337,2025-08-07,124,GBPUSD,sell,0.05,2.51
592,2025-08-07,47,EURUSD,sell,1.0,69.86
2995,2025-08-07,165,USDJPY,sell,0.05,-0.89
1248,2025-08-07,116,GBPUSD,buy,0.5,-13.7
2783,2025-08-07,158,XAUUSD,sell,0.5,-36.1
176,2025-08-07,193,GBPUSD,buy,0.1,9.14
894,2025-08-07,3,EURUSD,sell,0.5,8.56
2879,2025-08-07,27,USDJPY,buy,0.1,6.89
2841,2025-08-07,53,USDJPY,buy,0.05,1.02
2895,2025-08-08,98,GBPUSD,buy,0.01,0.81
928,2025-08-08,9,USDJPY,sell,0.01,0.36
1053,2025-08-08,86,EURUSD,sell,0.1,-2.53
2851,2025-08-08,125,GBPUSD,sell,0.05,-3.8
681,2025-08-08,31,USDJPY,buy,0.01,-0.23
2202,2025-08-08,104,EURUSD,sell,0.01,0.88
1385,2025-08-08,116,GBPUSD,buy,0.01,1.01
1413,2025-08-08,58,EURUSD,buy,0.01,-0.61
1663,2025-08-08,81,USDJPY,buy,0.5,-85.73
648,2025-08-08,186,USDJPY,buy,0.1,6.66
1260,2025-08-08,43,XAUUSD,sell,0.01,-1.86
654,2025-08-11,172,XAUUSD,buy,0.5,15.29
2859,2025-08-11,142,XAUUSD,sell,2.0,-131.68
1119,2025-08-11,164,GBPUSD,buy,0.1,3.51
1557,2025-08-11,147,XAUUSD,sell,0.05,1.83
1673,2025-08-11,71,XAUUSD,sell,0.1,-1.43
1618,2025-08-11,107,XAUUSD,sell,0.1,-6.14
1162,2025-08-11,134,EURUSD,sell,0.01,0.51
283,2025-08-12,152,EURUSD,buy,0.01,-0.49
769,2025-08-12,188,XAUUSD,sell,0.01,-1.45
2615,2025-08-12,118,EURUSD,buy,0.5,-6.81
590,2025-08-12,184,EURUSD,buy,0.01,0.03
1687,2025-08-12,99,USDJPY,sell,2.0,49.96
1080,2025-08-12,157,XAUUSD,buy,1.0,-68.09
71,2025-08-12,86,XAUUSD,buy,0.1,-1.72
574,2025-08-12,85,USDJPY,buy,1.0,-42.9
60,2025-08-12,81,GBPUSD,sell,0.05,2.87
852,2025-08-12,184,USDJPY,sell,0.01,0.85
156,2025-08-12,118,EURUSD,buy,0.01,0.49
2522,2025-08-12,27,USDJPY,sell,0.05,-5.07
2513,2025-08-12,42,XAUUSD,sell,0.05,1.25
419,2025-08-13,75,USDJPY,buy,0.1,-4.44
89,2025-08-13,184,EURUSD,buy,0.05,1.07
1934,2025-08-13,126,GBPUSD,sell,0.05,1.67
2537,2025-08-13,151,EURUSD,buy,0.01,0.42
177,2025-08-13,179,USDJPY,buy,0.1,5.99
1087,2025-08-13,83,EURUSD,sell,0.01,-0.46
1418,2025-08-13,42,XAUUSD,sell,0.5,22.44
1223,2025-08-13,129,XAUUSD,buy,0.1,33.46
1151,2025-08-13,60,USDJPY,sell,0.1,11.47
1218,2025-08-13,83,USDJPY,sell,0.01,-0.34
1221,2025-08-13,110,USDJPY,sell,0.01,-0.45
809,2025-08-13,125,USDJPY,sell,0.1,10.39
2437,2025-08-14,139,USDJPY,sell,0.01,-0.02
2410,2025-08-14,150,XAUUSD,buy,0.01,0.18
1913,2025-08-14,139,GBPUSD,sell,0.1,-1.48
1927,2025-08-14,146,XAUUSD,sell,0.01,-0.78
85,2025-08-14,58,EURUSD,buy,0.05,-0.73
2656,2025-08-14,8,GBPUSD,sell,0.01,1.35
1745,2025-08-14,137,GBPUSD,sell,2.0,49.23
2342,2025-08-14,141,USDJPY,sell,0.5,-8.81
2270,2025-08-14,22,EURUSD,sell,0.5,38.78
327,2025-08-14,99,GBPUSD,buy,0.05,-1.52
2026,2025-08-14,198,GBPUSD,sell,0.01,0.39
2604,2025-08-14,81,USDJPY,sell,0.1,3.19
2106,2025-08-14,179,XAUUSD,buy,0.01,0.94
2308,2025-08-14,37,XAUUSD,sell,0.5,-27.01
1113,2025-08-15,164,EURUSD,buy,0.1,12.14
619,2025-08-15,11,GBPUSD,sell,0.1,8.22
2374,2025-08-15,102,GBPUSD,buy,0.1,7.98
1742,2025-08-15,154,EURUSD,buy,0.1,-9.77
1494,2025-08-15,179,USDJPY,buy,0.05,-0.39
1350,2025-08-15,66,GBPUSD,buy,0.5,36.1
2660,2025-08-15,89,USDJPY,sell,0.05,5.2
2601,2025-08-15,25,XAUUSD,sell,0.01,-0.33
27,2025-08-18,149,XAUUSD,buy,0.01,-2.22
2396,2025-08-18,186,EURUSD,buy,0.1,9.37
2477,2025-08-18,78,EURUSD,buy,2.0,-128.33
1068,2025-08-18,135,EURUSD,sell,0.5,19.81
94,2025-08-18,114,GBPUSD,sell,0.1,-5.23
1766,2025-08-18,146,EURUSD,buy,0.1,-7.47
780,2025-08-19,7,XAUUSD,sell,2.0,116.36
2993,2025-08-19,64,EURUSD,sell,0.1,-3.44
2646,2025-08-19,94,EURUSD,buy,0.1,0.17
757,2025-08-19,16,EURUSD,sell,0.1,-11.0
48,2025-08-19,116,EURUSD,buy,0.05,0.62
1644,2025-08-19,106,XAUUSD,buy,0.05,2.86
516,2025-08-19,110,GBPUSD,sell,0.01,-1.12
1735,2025-08-19,195,USDJPY,buy,0.01,0.39
291,2025-08-19,180,XAUUSD,sell,0.05,3.01
964,2025-08-19,107,XAUUSD,buy,0.1,-20.44
963,2025-08-19,99,GBPUSD,buy,0.1,-9.25
1303,2025-08-19,20,XAUUSD,buy,0.05,7.66
1185,2025-08-19,15,EURUSD,buy,0.1,4.25
812,2025-08-19,189,GBPUSD,sell,0.1,-6.32
1297,2025-08-19,30,EURUSD,buy,0.01,0.3
2872,2025-08-19,34,XAUUSD,sell,0.01,-0.56
466,2025-08-20,120,XAUUSD,sell,0.1,18.57
227,2025-08-20,78,GBPUSD,buy,0.05,4.04
333,2025-08-20,105,XAUUSD,buy,2.0,-410.87
933,2025-08-20,163,EURUSD,buy,0.01,0.07
190,2025-08-20,61,XAUUSD,buy,2.0,-72.12
82,2025-08-20,143,GBPUSD,sell,0.1,-3.81
2830,2025-08-20,165,XAUUSD,sell,0.05,3.67
2673,2025-08-20,87,EURUSD,buy,0.1,9.93
2550,2025-08-20,74,EURUSD,buy,0.05,2.17
449,2025-08-20,61,EURUSD,sell,2.0,58.68
1465,2025-08-20,166,EURUSD,sell,0.5,15.61
2976,2025-08-20,112,XAUUSD,buy,0.1,3.85
1512,2025-08-20,126,USDJPY,buy,0.05,5.68
1658,2025-08-20,147,GBPUSD,buy,0.05,4.19
2907,2025-08-20,45,XAUUSD,buy,0.05,12.99
1096,2025-08-21,66,XAUUSD,buy,0.5,-16.74
2488,2025-08-21,10,USDJPY,buy,0.5,-29.28
443,2025-08-21,129,USDJPY,sell,0.05,7.25
624,2025-08-21,23,USDJPY,sell,0.1,-3.8
2670,2025-08-21,148,XAUUSD,sell,0.5,81.73
2965,2025-08-21,160,EURUSD,sell,0.01,0.3
696,2025-08-21,18,GBPUSD,buy,0.05,-0.98
2271,2025-08-21,137,GBPUSD,sell,0.01,0.75
51,2025-08-21,113,GBPUSD,buy,0.5,-13.65
1720,2025-08-21,146,XAUUSD,sell,0.05,5.74
788,2025-08-21,113,USDJPY,buy,0.1,4.24
86,2025-08-22,161,GBPUSD,sell,0.1,-4.76
2345,2025-08-22,31,XAUUSD,buy,1.0,-79.29
992,2025-08-22,118,XAUUSD,buy,1.0,-41.52
2560,2025-08-22,154,EURUSD,sell,0.1,-5.71
237,2025-08-22,75,USDJPY,sell,0.1,1.73
1182,2025-08-22,132,EURUSD,sell,1.0,123.26
2152,2025-08-22,136,GBPUSD,buy,0.5,-45.7
1524,2025-08-22,111,USDJPY,sell,0.01,1.03
1804,2025-08-22,172,GBPUSD,buy,0.05,-0.37
1776,2025-08-22,35,GBPUSD,sell,0.01,-0.78
1141,2025-08-22,60,EURUSD,sell,0.5,39.39
1106,2025-08-22,136,USDJPY,sell,0.05,1.56
2563,2025-08-22,2,USDJPY,sell,0.1,1.76
1423,2025-08-25,175,XAUUSD,sell,0.05,5.67
57,2025-08-25,173,EURUSD,buy,0.05,-0.74
1800,2025-08-25,113,XAUUSD,buy,1.0,-177.69
2095,2025-08-25,116,XAUUSD,sell,0.1,13.5
728,2025-08-25,164,EURUSD,sell,0.01,-0.5
892,2025-08-25,176,USDJPY,buy,1.0,-15.57
2261,2025-08-25,117,GBPUSD,sell,0.05,3.79
985,2025-08-25,84,EURUSD,buy,0.1,3.97
2386,2025-08-25,80,EURUSD,buy,0.05,-2.01
1244,2025-08-25,101,GBPUSD,buy,0.5,-53.19
741,2025-08-25,6,XAUUSD,sell,0.01,-2.01
793,2025-08-25,5,XAUUSD,buy,2.0,257.78
